ticker,start_date,end_date,rows
AKAM,2018-01-02,2025-12-31,2011
CHKP,2018-01-02,2025-12-31,2011
CRWD,2018-01-02,2025-12-31,2011
CSCO,2018-01-02,2025-12-31,2011
CYBR,2018-01-02,2025-12-31,2011
FTNT,2018-01-02,2025-12-31,2011
GEN,2018-01-02,2025-12-31,2011
NET,2018-01-02,2025-12-31,2011
NTGR,2018-01-02,2025-12-31,2011
OKTA,2018-01-02,2025-12-31,2011
OTEX,2018-01-02,2025-12-31,2011
PANW,2018-01-02,2025-12-31,2011
PLTR,2018-01-02,2025-12-31,2011
QLYS,2018-01-02,2025-12-31,2011
RPD,2018-01-02,2025-12-31,2011
S,2018-01-02,2025-12-31,2011
SNPS,2018-01-02,2025-12-31,2011
TENB,2018-01-02,2025-12-31,2011
ZS,2018-01-02,2025-12-31,2011
